10.745,9.793
10.972,12.285
9.649,9.649
12.369,11.151
9.296,10.814
9.305,9.301
10.363,7.130
7.413,9.157
8.481,10.471
8.638,7.882
12.198,9.661
10.101,7.863
9.183,10.166
8.274,10.564
9.099,9.562
9.097,12.778
9.980,8.413
11.234,8.169
10.313,7.060
8.008,10.295
11.108,10.257
9.827,9.548
7.782,8.920
9.309,11.586
10.515,7.355
10.486,9.422
8.985,10.918
11.546,11.397
8.741,9.536
10.497,11.463
9.281,9.722
8.340,8.206
11.219,12.034
9.892,11.505
10.542,9.032
10.542,12.307
9.946,12.347
6.070,11.233
10.131,9.551
10.138,7.019
29.670,30.536
32.217,29.223
28.787,29.247
31.373,30.493
29.205,30.770
30.146,31.453
28.947,29.509
29.412,27.805
30.444,30.392
30.008,29.648
27.877,29.369
29.486,28.797
29.758,30.606
32.829,30.262
30.386,29.888
27.122,29.960
30.090,33.695
29.711,30.452
29.948,28.247
31.714,31.128
31.187,28.636
32.104,27.897
30.880,33.286
28.514,29.151
30.149,29.245
27.674,30.103
28.407,30.710
28.621,32.325
28.825,29.517
31.220,28.154
30.341,31.961
27.589,30.277
30.390,31.173
28.145,28.019
30.783,30.445
30.376,30.520
28.980,30.348
30.440,28.928
32.799,30.711
28.213,30.985
8.538,31.181
11.738,28.769
11.445,30.619
11.233,32.845
9.632,28.869
8.666,28.776
9.884,30.512
10.415,31.241
10.020,32.180
9.603,34.080
10.939,28.714
8.394,30.724
9.665,31.071
10.710,29.891
8.730,27.728
9.330,31.285
10.321,28.131
10.260,30.578
8.674,30.231
10.087,28.286
10.537,30.841
11.625,31.581
7.933,28.593
10.773,30.771
10.773,35.779
10.856,31.703
11.431,30.977
9.527,31.138
8.841,29.645
9.272,30.123
13.472,27.199
11.029,27.581
9.292,31.633
10.096,28.383
8.927,31.019
8.904,30.325
10.068,29.023
13.216,30.951
6.962,30.280
9.007,31.279
